"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "HTML", "SCSS", "JavaScript JSX", "JSON", "comment", "blank", "total"
"f:\DEV\Projects\ProjectHandler\ProjectHandler.code-workspace", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\DEV\Projects\ProjectHandler\api\controllers\activities.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 8, 7, 83
"f:\DEV\Projects\ProjectHandler\api\controllers\auth.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"f:\DEV\Projects\ProjectHandler\api\controllers\priceOffer.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 5, 5, 60
"f:\DEV\Projects\ProjectHandler\api\controllers\priceOfferItem.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 12, 74
"f:\DEV\Projects\ProjectHandler\api\controllers\project.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 0, 12, 94
"f:\DEV\Projects\ProjectHandler\api\controllers\task.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"f:\DEV\Projects\ProjectHandler\api\controllers\taskNotes.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"f:\DEV\Projects\ProjectHandler\api\controllers\user.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"f:\DEV\Projects\ProjectHandler\api\controllers\workDetails.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 7, 49
"f:\DEV\Projects\ProjectHandler\api\index.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 1, 10, 65
"f:\DEV\Projects\ProjectHandler\api\models\Activities.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"f:\DEV\Projects\ProjectHandler\api\models\PriceGenerate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\DEV\Projects\ProjectHandler\api\models\PriceOffer.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"f:\DEV\Projects\ProjectHandler\api\models\PriceOfferItem.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"f:\DEV\Projects\ProjectHandler\api\models\Project.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 4, 98
"f:\DEV\Projects\ProjectHandler\api\models\Task.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"f:\DEV\Projects\ProjectHandler\api\models\TaskNotes.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"f:\DEV\Projects\ProjectHandler\api\models\User.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"f:\DEV\Projects\ProjectHandler\api\models\WorkDetails.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"f:\DEV\Projects\ProjectHandler\api\package.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"f:\DEV\Projects\ProjectHandler\api\routes\activities.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"f:\DEV\Projects\ProjectHandler\api\routes\auth.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"f:\DEV\Projects\ProjectHandler\api\routes\priceGenerated.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\DEV\Projects\ProjectHandler\api\routes\priceOffer.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"f:\DEV\Projects\ProjectHandler\api\routes\priceOfferItems.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 7, 6, 25
"f:\DEV\Projects\ProjectHandler\api\routes\projects.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 10, 2, 27
"f:\DEV\Projects\ProjectHandler\api\routes\taskNotes.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 5, 3, 18
"f:\DEV\Projects\ProjectHandler\api\routes\tasks.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 5, 3, 18
"f:\DEV\Projects\ProjectHandler\api\routes\users.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 13, 5, 27
"f:\DEV\Projects\ProjectHandler\api\routes\workDetails.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 5, 4, 19
"f:\DEV\Projects\ProjectHandler\api\utils\error.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"f:\DEV\Projects\ProjectHandler\api\utils\verifyToken.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"f:\DEV\Projects\ProjectHandler\react-client\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"f:\DEV\Projects\ProjectHandler\react-client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 29047, 0, 1, 29048
"f:\DEV\Projects\ProjectHandler\react-client\package.json", "JSON", 0, 0, 0, 0, 0, 0, 55, 0, 1, 56
"f:\DEV\Projects\ProjectHandler\react-client\public\index.html", "HTML", 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"f:\DEV\Projects\ProjectHandler\react-client\src\App.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 11, 72
"f:\DEV\Projects\ProjectHandler\react-client\src\app.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 12, 33
"f:\DEV\Projects\ProjectHandler\react-client\src\components\activities\Activities.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 518, 0, 50, 61, 629
